숙소명,고유명사_TFIDF
토요코인호텔 부산서면,"{'서면': 0.353, '롯데': 0.108, '광안리해수욕장': 0.147, '부산': 0.188, '밀리오레': 0.165, '일본': 0.141}"
부산 센트럴호텔,"{'부산': 0.276, '연제구': 0.243}"
이그니스모텔(구 맨하탄모텔),"{'금강': 0.324, '롯데': 0.129, '부산': 0.149, '동래구': 0.197, '동래': 0.168, '동래온천': 0.368}"
부산뷰호텔,{'부산': 0.533}
블루백팩커스호스텔,"{'서면': 0.131, '부산': 0.07}"
부산도시공사 아르피나,"{'부산': 0.117, '센텀시티': 0.275, '부산관광공사': 0.309, '해운대': 0.152}"
브릿지모텔,"{'수영구': 0.199, '부산광역시': 0.199}"
엘리제모텔,"{'남포동': 0.234, '자갈치시장': 0.226}"
미라벨모텔,{'부산': 0.248}
호텔 파라곤,"{'부산': 0.153, '낙동강': 0.19}"
송도비치 관광호텔,"{'오륙도': 0.193, '송도': 0.271, '해운대': 0.111, '자갈치': 0.18, '을숙도': 0.211}"
웨스틴 조선 부산,"{'조선': 0.265, '한국': 0.07, '부산': 0.209, '광안대교': 0.088, '장산': 0.111, '아쿠아리움': 0.091, '동백섬': 0.177}"
Nudge567,{'해운대': 0.282}
브로시스 호텔,"{'남포동': 0.286, '중구': 0.291, '부산': 0.152}"
코모도 호텔 부산,"{'조선': 0.14, '부산': 0.067, '한국': 0.111, '이순신장군': 0.176}"
파라다이스 호텔 부산,"{'부산': 0.115, '해운대': 0.149}"
부산관광호텔,"{'부산': 0.308, '자갈치시장': 0.186}"
라메르호텔,"{'동구': 0.122, '부산': 0.062, '범일동': 0.165}"
프라임관광호텔,"{'범어사': 0.094, '태종대': 0.08, '부산': 0.281, '해운대': 0.052, '자갈치': 0.085}"
힐 사이드 관광호텔,"{'영주동': 0.268, '오륙도': 0.228, '부산': 0.203, '영도': 0.238, '연인': 0.173}"
유토피아관광호텔,"{'부산': 0.069, '해운대': 0.089}"
이비스 앰배서더 부산 시티센터,"{'서면': 0.1, '부산': 0.16}"
광장호텔,{'부산': 0.09}
호텔 야오,{'하단역': 0.698}
리베로호텔,{'해운대': 0.443}
롯데호텔 부산,"{'롯데': 0.398, '한국': 0.064, '부산': 0.115, '서울': 0.23, '울산': 0.061}"
호텔 농심,"{'금강': 0.073, '범어사': 0.079, '정관': 0.083, '독일': 0.075, '양산': 0.079, '금정산': 0.083, '부산': 0.033, '충렬사': 0.088, '동래산성': 0.088, '동래': 0.226}"
호텔일루아,"{'이기대': 0.129, '오륙도': 0.117, '해운대': 0.339, '광안대교': 0.11, '동백섬': 0.11}"
송정호텔,"{'백스코': 0.198, '해운대': 0.098, '해동용궁사': 0.186, '송정해수욕장': 0.176, '시네마테크': 0.198}"
COM MA(호텔콤마),"{'범내골역': 0.239, '태종대': 0.181, '부산': 0.271, '해운대': 0.117, '부산영화제': 0.223, '자갈치': 0.191, '범천동': 0.239}"
타워힐호텔,"{'남포동': 0.409, '부산': 0.145}"
르네상스호텔[한국관광 품질인증/Korea Quality],"{'사상역': 0.188, '롯데': 0.132, '홈플러스': 0.202, '부산': 0.152, '이마트': 0.188}"
폭시모텔,"{'태종대': 0.175, '부산': 0.262, '해운대': 0.227, '부산영화제': 0.216, '자갈치': 0.184}"
탑모텔,"{'태종대': 0.244, '남포동': 0.229, '부산': 0.244, '해운대': 0.158, '자갈치시장': 0.221}"
브이모텔,"{'남항대교': 0.187, '태종대': 0.151, '광안리해수욕장': 0.177, '남포동': 0.142, '부산': 0.151, '해운대': 0.098, '송도해수욕장': 0.373, '자갈치': 0.159, '아쿠아리움': 0.164}"
베니키아 프리미어 마리안느호텔,"{'신세계': 0.228, '아쿠아리움': 0.242, '부산': 0.222, '해운대': 0.289}"
파크 하얏트 부산,"{'광안대교': 0.127, '부산': 0.241, '해운대': 0.157}"
J모텔(제이모텔),"{'벡스코': 0.226, '해운대': 0.15, '광안리해수욕장': 0.271}"
이코노미 해운대점,{'해운대': 0.424}
코오롱 씨클라우드 호텔,"{'해운대역': 0.171, '부산': 0.175, '해운대': 0.341}"
"해운대 H STAY HOTEL (구, 시타딘호텔)","{'해운대역': 0.126, '부산': 0.064, '해운대': 0.419}"
호텔포레 더 스파,"{'베트남': 0.175, '부산': 0.142}"
베니키아 프리미어 해운대 호텔,"{'부산': 0.067, '해운대': 0.347}"
부산비즈니스호텔,"{'서면': 0.222, '서면역': 0.249, '부산': 0.354}"
힐사이드호텔,"{'영도대교': 0.271, '부산': 0.115, '자갈치시장': 0.209}"
호텔오즈,"{'금강': 0.157, '롯데': 0.125, '부산': 0.072, '금정산': 0.179, '온천장역': 0.191, '부산지하철': 0.157, '동래': 0.326, '동래온천': 0.179}"
호텔야자 사상터미널점,{'사상역': 0.133}
아르반호텔[한국관광 품질인증/Korea Quality],"{'서면역': 0.213, '부산': 0.101, '부산진구': 0.267}"
라마다 앙코르 바이윈덤 부산해운대,"{'윈덤': 0.365, '부산': 0.243, '해운대': 0.421, '해운대역': 0.158, '벡스코': 0.158}"
지엔비호텔(GNB호텔),"{'자갈치역': 0.18, '부산': 0.08, '부산지하철': 0.174}"
아난티 앳 부산 코브,"{'해운대': 0.025, '부산': 0.176, '센텀시티': 0.046, '기장': 0.048}"
비센트호텔,"{'중구': 0.181, '부산': 0.283, '중앙동': 0.233}"
센트럴파크 호텔,"{'롯데': 0.118, '남포동': 0.128, '부산': 0.204, '남포역': 0.143, '광복동': 0.168, '부산지하철': 0.148, '자갈치': 0.143, '영도대교': 0.16, '중구': 0.13}"
르이데아호텔,"{'자갈치시장': 0.166, '동구': 0.179, '부산': 0.365, '태종대': 0.183}"
스탠포드 인 부산,"{'파나마시티': 0.139, '시애틀': 0.139, '산티아고': 0.139, '남포동': 0.099, '부산': 0.369, '미국': 0.108, '포틀랜드': 0.139, '통영': 0.139, '안동': 0.139, '뉴욕': 0.139, '부평': 0.124, '칠레': 0.139, '보수동책방골목': 0.139, '중구': 0.101, '자갈치시장': 0.096}"
플레아 드 블랑 (PLEA DE BLANC),{'해운대': 0.235}
호텔런더너,"{'신세계': 0.176, '벡스코': 0.168}"
센텀프리미어호텔,"{'롯데': 0.184, '신세계': 0.219, '부산': 0.213, '해운대': 0.277, '센텀시티': 0.25}"
비치모텔[한국관광 품질인증/Korea Quality],"{'송도': 0.144, '부산': 0.091, '북항대교': 0.224}"
솔라리아 니시테츠호텔 부산,"{'서면': 0.149, '부산': 0.159}"
THE B.S호텔(더비에스호텔),"{'부산': 0.107, '초량역': 0.264}"
그림하우스,{'부산': 0.117}
팝콘 호스텔 해운대점,{'해운대': 0.242}
녹천호텔 [한국관광 품질인증/Korea Quality],"{'동래읍성': 0.203, '부산': 0.077, '동래': 0.347, '온천천': 0.203, '온천동': 0.203}"
베스트웨스턴 해운대호텔,"{'부산': 0.042, '동백섬': 0.088, '해운대': 0.108, '부산지하철': 0.091, '해운대역': 0.082, '해운대해수욕장': 0.091}"
하운드호텔 프리미어 남포[한국관광 품질인증/Korea Quality],"{'부평': 0.199, '자갈치역': 0.191, '부산': 0.085, '자갈치시장': 0.154}"
콘트호텔 [한국관광 품질인증/Korea Quality],"{'남포동': 0.146, '부산': 0.078, '자갈치역': 0.175, '남포역': 0.164}"
해운대센텀호텔,"{'해운대': 0.124, '벡스코': 0.187, '센텀시티역': 0.252}"
호텔 프렌치코드,"{'서면': 0.195, '범어사': 0.243, '부산': 0.207, '구서역': 0.274}"
해운대 영무파라드호텔,{'해운대': 0.176}
오이아호텔,"{'부산': 0.077, '다대포해수욕장': 0.205}"
호텔포레 프리미어 남포,"{'남포': 0.222, '부산': 0.09, '남포역': 0.19, '자갈치역': 0.203, '자갈치시장': 0.163}"
라발스호텔,"{'송도': 0.135, '부산': 0.085, '남포역': 0.18, '영도구': 0.225, '자갈치시장': 0.154}"
아몬드호텔,"{'부산': 0.161, '자갈치시장': 0.146}"
라비드아틀란호텔2,"{'아쿠아리움': 0.175, '부산': 0.08, '해운대': 0.104, '동백섬': 0.17}"
신라스테이 서부산,"{'부산': 0.246, '낙동강': 0.152, '갈맷길': 0.163, '신라': 0.144, '을숙도': 0.152}"
펠릭스바이STX,"{'해운대역': 0.19, '부산': 0.097, '해운대': 0.126}"
시그니엘 부산,"{'부산': 0.168, '중동역': 0.111, '해운대': 0.164, '서울': 0.084, '광안대교': 0.089, '해운대역': 0.082, '홍콩': 0.111, '런던': 0.111}"
하운드호텔 부산역점,"{'초량동': 0.198, '부산': 0.374, '초량역': 0.185}"
베이몬드호텔,"{'해운대역': 0.164, '해운대': 0.218, '해운대해수욕장': 0.182}"
그레이193호텔,"{'부산': 0.098, '벡스코': 0.191, '해운대': 0.127}"
그랜드 조선 부산,"{'조선': 0.535, '시몬스': 0.096, '부산': 0.072, '해운대': 0.047, '아리아': 0.096}"
라마다 앙코르 바이윈덤 부산역 호텔,"{'부산': 0.544, '윈덤': 0.175}"
노떼 라 미아 호텔,"{'서면': 0.114, '남포': 0.15, '부산': 0.303, '부산지하철': 0.132, '북항대교': 0.15, '연인': 0.104}"
엘시티 레지던스,"{'부산': 0.286, '해운대': 0.124}"
유에이치스위트 하버타운[한국관광 품질인증/Korea Quality],"{'부산': 0.129, '해운대': 0.168}"
물고기미포펜션[한국관광 품질인증/Korea Quality],"{'해운대구': 0.222, '부산': 0.252, '해운대': 0.109, '중동': 0.222, '연인': 0.143}"
KT&G 상상마당 부산 스테이[한국관광 품질인증/Korea Quality],"{'서면역': 0.181, '부산': 0.172}"
유에이치스위트 해운대 4층[한국관광 품질인증/Korea Quality],"{'부산': 0.139, '해운대': 0.362}"
유에이치스위트 랜드스케이프 14층[한국관광 품질인증/Korea Quality],"{'부산': 0.126, '해운대': 0.164}"
스페이스앤무드[한국관광 품질인증/Korea Quality],"{'서면역': 0.249, '부산': 0.118}"
유에이치스위트 랜드스케이프 11-13층 [한국관광 품질인증/Korea Quality],"{'부산': 0.117, '해운대': 0.152}"
아델라호텔,"{'태종대': 0.104, '부산': 0.31, '남포역': 0.109, '송도해수욕장': 0.128, '영도': 0.121, '영도대교': 0.243, '자갈치시장': 0.094}"
블루스토리 호텔,"{'해운대역': 0.161, '부산': 0.165, '벡스코': 0.161, '해운대': 0.321}"
브라운도트호텔 정관점,"{'정관': 0.193, '양산': 0.183, '장안사': 0.206, '신세계': 0.16, '부산': 0.078, '임랑해수욕장': 0.206, '울산': 0.125}"
베이하운드호텔,"{'롯데': 0.122, '태종대': 0.141, '남포동': 0.133, '부산': 0.282, '남포역': 0.149, '영도다리': 0.373, '영도': 0.166, '자갈치시장': 0.128}"
브라운도트 호텔 서면역점 비즈니스,"{'서면': 0.474, '롯데': 0.146, '서면역': 0.177, '부산': 0.084}"
크라운 하버 호텔 부산,"{'남포동': 0.176, '중구': 0.18, '부산': 0.469, '중앙동': 0.232}"
호텔티티 서면,"{'서면': 0.29, '서면역': 0.162, '부전역': 0.204, '부산': 0.154, '동해': 0.174}"
어반스테이더센트럴,"{'서면': 0.501, '롯데': 0.092, '부산': 0.107}"
라온호텔,"{'부산': 0.227, '해동용궁사': 0.187, '미국': 0.155, '송정해수욕장': 0.355, '해운대역': 0.148, '벡스코': 0.148, '해운대해수욕장': 0.164}"
마티에 오시리아,{'기장': 0.108}
