질의,포함핵심어,포함개수
송도 근처에 괜찮은 숙소 추천해 줄 수 있어?,송도,1
대구에서 머물기 좋은 숙소 추천해줄 수 있어?,대구,1
해운대 근처에 괜찮은 숙소 추천해줄 수 있어?,해운대,1
부산에서 동래 쪽에 있는 숙소 중 추천할 만한 곳 있을까요? 특히 동래온천 근처라면 좋겠어요.,동래,1
대구광역시 남산역 근처에 괜찮은 숙소 추천해 줄 수 있어?,남산역,1
초량역 근처에 머물기 좋은 숙소가 있을까요?,초량역,1
장안사 근처에 머물기 좋은 숙소가 있을까요?,장안사,1
광주시 시청로 근처에 좋은 숙소가 있을까요?,시청로,1
"부산으로 여행을 가는데, 괜찮은 숙소 추천해 줄 수 있어?",부산,1
무의도 근처에 편하게 머물 수 있는 숙소 추천해 줄 수 있어?,무의도,1
인천에서 머물기 좋은 숙소 추천해 줄 수 있어?,인천,1
"독일 여행 중인데, 괜찮은 숙소 추천해줄 수 있어?",독일,1
광주에 있는 숙소 중에서 교통이 편리한 곳 추천해 줄 수 있어?,광주,1
석모도 보문사 근처에 머물기 좋은 숙소가 있을까요?,보문사,1
아리조나주에서 머물기에 좋은 숙소 추천해줄 수 있어?,아리조나주,1
구서역 근처에 괜찮은 숙소 추천해 줄 수 있어?,구서역,1
강화도에서 숙박할 만한 좋은 곳 추천해 줄 수 있어?,강화도,1
황금역 주변에 괜찮은 숙소 추천해 줄 수 있어?,황금역,1
연인과 함께 머물기 좋은 숙소를 찾고 있는데 추천해 주실 수 있나요?,연인,1
울산 동구 근처에 위치한 좋은 숙소를 추천해 줄 수 있을까요?,동구,1
광안대교 근처에 머물기 좋은 숙소 추천해 줄 수 있어?,광안대교,1
팔공산 근처에 괜찮은 숙소가 있을까요?,팔공산,1
"수도권에서 괜찮은 숙소를 찾고 있는데, 추천해 주실 만한 곳이 있을까요?",수도권,1
남포동 주변에 괜찮은 숙소 추천해줄 수 있어?,남포동,1
인천 계양구에서 머물기 좋은 숙소 추천해 줄 수 있어?,계양구,1
울산 지역에서 추천할 만한 숙소가 있을까요?,울산,1
"베트남 여행 중인데, 주변에 좋은 숙소 추천해 줄 수 있어?",베트남,1
유성온천 주변에 괜찮은 숙소 추천해줄 수 있어?,유성온천,1
해운대해수욕장 근처에 위치한 숙소 중에서 추천할 만한 곳이 있을까요?,해운대해수욕장,1
광주 충장로 근처에 추천할 만한 숙소가 있을까요?,충장로,1
해운대역 근처에 머물 만한 좋은 숙소가 있을까요?,해운대역,1
영흥도 근처에 좋은 숙소 추천해주실 수 있나요?,영흥도,1
신불산 근처에 머물기 좋은 숙소가 있을까요?,신불산,1
대전광역시에서 숙박할 만한 곳 추천해 줄 수 있어?,대전광역시,1
인천에서 용유도 근처에 위치한 숙소 좀 추천해 줄 수 있어?,용유도,1
동해 근처에 괜찮은 숙소를 추천해줄 수 있어?,동해,1
서면 근처에 머물기 좋은 숙소 추천해 줄 수 있어?,서면,1
"장봉도에 가려고 하는데, 근처에 좋은 숙소 추천해 줄 수 있어?",장봉도,1
