명칭,주소,개요,객실 유형,주차 가능,레스토랑,부대 시설,
토요코인호텔 부산서면,부산광역시 부산진구 서전로 39,"토요코인호텔 부산서면점은 일본에 본사를 두고 있는 비즈니스호텔 체인점이다. 지하 4층, 지상 17층 규모의 건물로 2010년 3월 개관했다. 부산서면점은 밀리오레와 도보 1분 거리, 롯데백화점, 면세점과는 도보 10분 거리에 있으며, 광안리해수욕장까지 차로 15분 걸리는 등 주변 시설과의 접근성이 좋다. 부산서면점은 고령자와 장애인을 위해 호텔이 독자적으로 디자인한 하트풀 트윈 객실을 운영한다.
토요코인호텔은 안심, 쾌적, 청결을 바탕으로 역과 가까운 숙소를 기본 콘셉트로 한 합리적인 가격의 숙박 특화형 호텔이다. 일상생활의 연장으로 안심하고 묵을 만한 시설과 서비스를 제공한다. 불필요한 서비스나 시설을 생략하고, 합리적인 운영으로 가치 있는 가격을 실현하고 있다.","싱글, 더블, 트윈",있음,조식식당,"비즈니스센터&휴게실, 코인세탁기",
부산 센트럴호텔,부산광역시 연제구 중앙대로 1122(연산동),"부산 연제구에 있는 센트럴호텔은 연산동 지하철역과 50m 거리에 있고 부산역, 김해공항, 부산여객터미널이 자동차로 30분 거리에 있어 이동에 편리하다. 무료 Wi-Fi와 같은 기본적인 편의시설도 잘 갖추어져 있고 여유로운 퇴실시간으로 편안한 숙박을 돕는다. 건물 1층에 은행, 커피숍, 레스토랑 등 편의시설이 잘 갖추어져 있으며, 영어, 일본어 외국어 안내 서비스 및 유료 조식서비스를 제공한다.",더블 / 디럭스트윈 / 트리플,가능,있음, ,
이그니스모텔(구 맨하탄모텔),부산광역시 동래구 중앙대로1473번길 14-13,"이그니스 모텔은 부산 동래구 온천1동에 위치하고 있으며 최신 시설과 함께 안락한 잠자리를 제공하고 있다. 고급스럽고 아늑한 인테리어와 최상의 시설이 준비되어 있어 편안한 휴식이 가능하다. 숙소 주변에는 동래온천 노천족탕, 허심청, 동래온천지구, 수가 화랑, 금강공원, 부산해양자연사박물관, 롯데백화점, 동래 문화원, 금강 식물원, 부산대 거리, 금정선원, 복천박물관 등이 있다.", ,가능, , ,
부산뷰호텔,부산광역시 동구 중앙대로196번길 16-10,부산역 바로 옆에 위치한 부산뷰호텔은 신개념의 비즈니스 모텔이다. 부산항이 내려다 보이는 탁 트인 전망과 역동적인 야경이 더욱더 편안하고 즐거운 여행을 선사할 것이다.,"디럭스, VIP(바다전망), 프리미어, 디럭스 트윈, VIP 트윈, 패밀리 디럭스, 패밀리 VIP, 패밀리 프리미어",가능, , ,
블루백팩커스호스텔,부산광역시 부산진구 신천대로102번길 8-8,"직접 취사는 물론 세탁까지 할 수 있는 장기 여행자나 백패커스에게 인기가 많은 블루백패커스는 도미토리와 트윈룸으로 운영되고 잇다. 부산 시내인 서면에 위치해 있어 기차역이나 버스터미널을 이용하기에 편리할 뿐 아니라 다양한 편의시설을 즐기기에 좋다. 저렴한 가격에 숙박할 수 있는 블루백패커스는 아침식사로는 간단한 차와 커피, 토스트가 제공하고 있다. 각 객실 외부에 공동 화장실과 샤워룸이 있으며, TV를 시청할 수 있는 공동 휴게실이 있다.", ,가능,공동취사장,"공용PC실, 야외 테라스",
부산도시공사 아르피나,부산광역시 해운대구 해운대해변로 35,"부산관광공사가 운영하는 ‘아름답게 피어나다’라는 뜻의 아르피나는 지리적으로 해운대, 광안리, 부산전시컨벤션센터(BEXCO), 센텀시티의 중앙에 위치하고 있다. 누구나 편안하게 이용할 수 있는 깨끗한 숙박시설과 연회장, 스포츠센터등 다양한 부대시설을 갖추고 있다.","비즈니스룸, 코리안룸, 패밀리룸, 유스룸",주차가능(총 297대),레스토랑,"연회장, 웨딩홀, 골프장, 휘트니스, 사우나, 수영장, 축구장, 쳥소년문화센터",
브릿지모텔,부산광역시 수영구 광안해변로 155,부산광역시 수영구에 위치한 브릿지모텔은 고급스러운 인테리어가 돋보이는 고급 모텔로 비교적 넓은 크기의 객실은 포인트 중후하고 고급스러운 인테리어 자재로 세련되게 잘 꾸며놓았으며 쾌적하게 머물다 갈 수 있도록 위생과 청결에 신경을 쓰고 있다. 특히 침구는 항상 잘 정돈되어 있고 청결하게 관리되고 있다. 객실에 따라 대형 벽걸이 TV 혹은 프로젝션 TV 등이 구비되어 있으며 욕실에는 고급 월풀 욕조도 마련되어 있다. 또한 특실에는 인터넷이 연결된 PC와 대형 소파가 있어 편안하고 안락하게 머물다 갈 수 있다., ,가능,카페, ,
엘리제모텔,부산광역시 중구 대청로126번길 22,"엘리제모텔은 용두산공원에 위치하여 인근의 국제시장, 자갈치시장, 용두산공원, 남포동 관광을 하고 편히 쉴 수 있는 곳이다. 부산시 모범 숙박업소로 선정됨.","스탠다드, 디럭스, 스위트, 패밀리",주차 가능,"레스토랑, 공용주방", ,
미라벨모텔,부산광역시 동구 중앙대로179번길 6,"유럽풍의 대리석에서 미라벨의 향기를 느낄 수 있다. 특실과 양실 등 총 30여 객실을 갖춘 미라벨모텔은 전 객실 최신형 평면 TV, 에어컨 등을 구비하고 있으며 부산역과 5분 내 거리에 인접해 있어 부산을 방문하시는 모든 분들에게 만족을 줄 수 있다.", ,주차 가능, , ,
호텔 파라곤,부산광역시 사상구 광장로 46,"호텔파라곤은 서부산 중심에 위치한 호텔로 김해국제공항과 지하철 및 터미널이 인접하여 교통이 편리하며 부산/경남개발의 핵심축이 된 경제자유구역과 신항만, 신호공단과 함께 낙동강을 끼고 있어 사업상 및 관광차 방문하는 고객을 위한 최적의 호텔이다. 편리함이 갖추어진 설비와 고객의 취향을 만족시켜주는  서비스를 통해  안락하게 지내실 수 있도록  편의를 제공하고 있다.<br>카페, 대연회장, 미용실 등이 구비되어 있다. 또한 모든 객실에 플러그 앤 플레이 패널, 냉장고, 커피/차 메이커 등이 구비되어 있고 룸서비스는 지정된 시간에 한하여 이용 가능하다.", ,주차 가능,"댄디/델리(커피숍 1F), 랑데뷰(레스토랑 2F), 라모스(뷔페 2F), 도원(일식 3F)","비즈니스 센터(2F), 사우나(4F), 연회장(대/중/소), 웨딩홀",
송도비치 관광호텔,부산광역시 서구 암남공원로 9,"송도비치호텔은 주변경관이 뛰어난 곳에 자리하여 전 객실에서 바다를 내려다 볼 수 있으며, 호텔 바로 앞에 송도 해수욕장과 왕복 2km에 달하는 해변 산책로와 암벽을 산책할 수 있고 산책 20분 거리에 암남공원이 있다. 더불어 호텔 주변에는 오륙도, 을숙도, 자갈치, 해운대, 태종대등 다양한 명소들이 있다.<br>또한 공용 내 무선 인터넷, 24시간 리셉션, 커피숍도 완비되어 있다. 호텔의 고객들은 내부에 있는 레스토랑에서 특별한 저녁 시간을 보낼 수 있다.",더블(36실)/트윈(4실)/온돌(4실),주차 가능,"VIP룸, 레스토랑(B1F), 커피숍(1F)","GS편의점(1F), 옥상가든, 웨딩홀",
